"size","sk1","sk2","sk3"
"small","1818","20156","8091"
"small","4223","26015","2354"
"small","363","13465","1516"
"small","1806","13380","2207"
"small","2134","41404","6505"
"small","3707","27350","2995"
"small","420","10236","3182"
"small","6383","24668","5835"
"medium","7541","61666","11324"
"medium","5064","37586","4627"
"medium","10555","56316","10389"
"medium","1477","29776","5393"
"medium","3426","40229","12805"
"medium","2655","45148","11344"
"medium","6844","47166","11524"
"medium","1052","17900","2268"
"medium","9354","77288","16865"
"medium","723","17324","3077"
"large","24024","80720","9520"
"large","13426","45360","7599"
"large","11715","51650","7144"
"large","14696","68093","14039"
"large","13373","69111","12096"
